ZFIN:ZDB-GENE-061204-1	LARGE xylosyl- and glucuronyltransferase 1		GO:0043403		UniProt	NCBITaxon:7955	ISS	UniProtKB:Q9Z1M7	PANTHER:PTHR12270	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20141117	large1
ZFIN:ZDB-GENE-030131-9102	collagen, type I, alpha 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-110630-21	PANTHER:PTHR24023	protein_coding_gene		PMID:21420398|ZFIN:ZDB-PUB-110425-4	20121003	col1a1a
ZFIN:ZDB-GENE-000210-21	inhibin subunit beta Aa		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-071129-4	PANTHER:PTHR11848	protein_coding_gene		PMID:17683938|ZFIN:ZDB-PUB-070813-15	20071129	inhbaa
ZFIN:ZDB-GENE-000210-21	inhibin subunit beta Aa		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-071129-2	PANTHER:PTHR11848	protein_coding_gene		PMID:17683938|ZFIN:ZDB-PUB-070813-15	20071129	inhbaa
ZFIN:ZDB-GENE-050302-175	hyaluronan and proteoglycan link protein 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140602-6	PANTHER:PTHR22804	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	hapln1a
ZFIN:ZDB-GENE-050302-175	hyaluronan and proteoglycan link protein 1a		GO:0031101		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-990715-2	PANTHER:PTHR22804	protein_coding_gene		PMID:26828861|ZFIN:ZDB-PUB-160202-7	20160907	hapln1a
ZFIN:ZDB-GENE-050302-175	hyaluronan and proteoglycan link protein 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140602-5	PANTHER:PTHR22804	protein_coding_gene		PMID:24533114|ZFIN:ZDB-PUB-140509-9	20140604	hapln1a
ZFIN:ZDB-GENE-050302-175	hyaluronan and proteoglycan link protein 1a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-140602-6	PANTHER:PTHR22804	protein_coding_gene		PMID:24533114|ZFIN:ZDB-PUB-140509-9	20140604	hapln1a
ZFIN:ZDB-GENE-980526-527	activin A receptor type 1Ba		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-071129-1	PANTHER:PTHR23255	protein_coding_gene		PMID:17683938|ZFIN:ZDB-PUB-070813-15	20071129	acvr1ba
ZFIN:ZDB-GENE-050302-113	neuregulin 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-081222-2	PANTHER:PTHR11100	protein_coding_gene		PMID:19133254|ZFIN:ZDB-PUB-100706-1	20100803	nrg1
ZFIN:ZDB-GENE-040426-2495	family with sequence similarity 53 member B		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-090925-2|ZFIN:ZDB-MRPHLNO-090925-3	PANTHER:PTHR28567	protein_coding_gene		PMID:19014929|ZFIN:ZDB-PUB-081121-20	20090925	fam53b
ZFIN:ZDB-GENE-980526-485	POU domain, class 5, transcription factor 3		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-081015-1	PANTHER:PTHR11636	protein_coding_gene		PMID:20089153|ZFIN:ZDB-PUB-100126-8	20110610	pou5f3
ZFIN:ZDB-GENE-980526-476	GATA binding protein 4		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-131021-3	PANTHER:PTHR10071	protein_coding_gene		PMID:23791730|ZFIN:ZDB-PUB-130710-46	20131022	gata4
ZFIN:ZDB-GENE-980526-419	LIM domain only 2 (rhombotin-like 1)		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-080625-2	PANTHER:PTHR45787	protein_coding_gene		PMID:27792641|ZFIN:ZDB-PUB-161030-9	20170131	lmo2
ZFIN:ZDB-GENE-991110-23	keratin 5		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR45616	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	krt5
ZFIN:ZDB-GENE-111129-3	musculoskeletal, embryonic nuclear protein 1a		GO:0042246		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR031394		protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	mustn1a
ZFIN:ZDB-GENE-090827-2	collagen, type XXII, alpha 1		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-090827-1		protein_coding_gene		PMID:19501583|ZFIN:ZDB-PUB-090616-31	20090828	col22a1
ZFIN:ZDB-GENE-030131-731	hyaluronan-mediated motility receptor (RHAMM)		GO:0061026		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-160107-1	PANTHER:PTHR18956	protein_coding_gene		PMID:26156497|ZFIN:ZDB-PUB-150711-10	20160128	hmmr
ZFIN:ZDB-GENE-031222-4	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab		GO:0061026		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-MIRNAG-090929-110	PANTHER:PTHR23351	protein_coding_gene		PMID:26628091|ZFIN:ZDB-PUB-151204-11	20170831	fosab
ZFIN:ZDB-GENE-030131-9710	Yes1 associated transcriptional regulator		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-160901-10		protein_coding_gene		PMID:26209644|ZFIN:ZDB-PUB-150726-3	20160908	yap1
ZFIN:ZDB-GENE-030131-9710	Yes1 associated transcriptional regulator		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-160901-9		protein_coding_gene		PMID:26209644|ZFIN:ZDB-PUB-150726-3	20160908	yap1
ZFIN:ZDB-GENE-050107-1	erb-b2 receptor tyrosine kinase 3b		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-100802-2	PANTHER:PTHR24416	protein_coding_gene		PMID:19133254|ZFIN:ZDB-PUB-100706-1	20100803	erbb3b
ZFIN:ZDB-GENE-990708-5	dickkopf WNT signaling pathway inhibitor 1b		GO:0070654		ZFIN	NCBITaxon:7955	IGI	ZFIN:ZDB-GENE-040426-1810|ZFIN:ZDB-GENE-980526-90	PANTHER:PTHR12113	protein_coding_gene		PMID:23000964|ZFIN:ZDB-PUB-121004-18	20131122	dkk1b
ZFIN:ZDB-MIRNAG-041217-2	microRNA 203a		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-091023-2		miRNA		PMID:19015519|ZFIN:ZDB-PUB-081121-22	20091102	mir203a
ZFIN:ZDB-GENE-030131-6664	annexin A1a		GO:0031101		ZFIN	NCBITaxon:7955	IEP		PANTHER:PTHR10502	protein_coding_gene		PMID:22278371|ZFIN:ZDB-PUB-120127-8	20120725	anxa1a
ZFIN:ZDB-GENE-030131-6664	annexin A1a		GO:0014839		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002574794|MGI:MGI:96819	PANTHER:PTHR10502	protein_coding_gene		PMID:21873635	20180521	anxa1a
ZFIN:ZDB-GENE-030827-2	nidogen 2a (osteonidogen)		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-190104-3	PANTHER:PTHR12352	protein_coding_gene		PMID:28871129|ZFIN:ZDB-PUB-170906-6	20190110	nid2a
ZFIN:ZDB-GENE-980605-16	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase		GO:0031101		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-100510-10	PANTHER:PTHR10811	protein_coding_gene		PMID:23344707|ZFIN:ZDB-PUB-130201-6	20141202	lfng
