"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2"
"txn",0.818,1.34292471637227,0.636,1.34292471637227,0.925,0.506
"tubb2b",0.809,1.01109909679447,0.618,1.01109909679447,0.932,0.494
"tuba8l",0.807,1.03702983341719,0.614,1.03702983341719,0.955,0.744
"eif4e1c",0.805,0.894465848213605,0.61,0.894465848213605,0.805,0.262
"csrp3",0.803,0.932426925692239,0.606,0.932426925692239,0.962,0.551
"zgc:195023",0.797,1.107633336398,0.594,1.107633336398,0.872,0.367
"nppb",0.797,0.889504076496653,0.594,0.889504076496653,1,0.925
"slirp",0.795,1.01711548322074,0.59,1.01711548322074,0.857,0.449
"dynll1",0.794,0.911869372549882,0.588,0.911869372549881,0.955,0.735
"msna",0.788,0.724653409639262,0.576,0.724653409639262,0.985,0.864
"snrpg",0.787,0.9839537326595,0.574,0.9839537326595,0.857,0.479
"cycsb",0.78,0.785912514106632,0.56,0.785912514106633,1,0.873
"zgc:86709",0.777,1.04379811301856,0.554,1.04379811301856,0.91,0.587
"hypk",0.772,0.961539784774493,0.544,0.961539784774493,0.887,0.512
"hspb7",0.772,0.849349090957393,0.544,0.849349090957393,0.752,0.256
"mustn1b",0.768,0.894328849992061,0.536,0.894328849992061,0.94,0.684
"atp5g3a",0.768,0.658615123105081,0.536,0.65861512310508,0.985,0.864
"myl12.1",0.766,0.671704420371071,0.532,0.671704420371072,0.962,0.789
"nppa",0.762,0.646194556293294,0.524,0.646194556293294,1,0.949
"anxa2a",0.753,0.968458521919588,0.506,0.968458521919588,0.827,0.428
"myl6",0.753,0.78950299142833,0.506,0.78950299142833,0.812,0.389
"tuba1b",0.744,0.797825701445185,0.488,0.797825701445185,0.737,0.349
"cox17",0.744,0.764564371023315,0.488,0.764564371023316,0.932,0.825
"eif2s2",0.744,0.662398196142425,0.488,0.662398196142423,0.962,0.855
"rbbp4",0.741,0.770870521334543,0.482,0.770870521334543,0.752,0.322
"jpt1b",0.74,0.790194015596617,0.48,0.790194015596616,0.895,0.611
"nudc",0.739,0.879463064297241,0.478,0.879463064297241,0.744,0.349
"lgals2a",0.739,0.829793178882617,0.478,0.829793178882617,0.917,0.639
"higd1a",0.739,0.727759165711524,0.478,0.727759165711524,0.895,0.627
"ube2v2",0.739,0.71831331875623,0.478,0.71831331875623,0.917,0.654
"anxa13",0.738,0.64674377803414,0.476,0.64674377803414,0.82,0.452
"ost4",0.737,0.867923076913749,0.474,0.867923076913749,0.887,0.708
"cst14a.2",0.737,0.836464576528739,0.474,0.836464576528739,0.82,0.464
"crip2",0.734,0.756598416085025,0.468,0.756598416085024,0.654,0.244
"cox7a2a",0.73,0.61988294082359,0.46,0.619882940823589,0.97,0.867
"clec19a",0.728,1.00523960644005,0.456,1.00523960644005,0.692,0.265
"tars",0.727,0.705544229367842,0.454,0.705544229367842,0.684,0.277
"acta2",0.725,1.2178089357561,0.45,1.2178089357561,0.707,0.328
"c1qbp",0.724,0.799004682640076,0.448,0.799004682640077,0.902,0.708
"ostc",0.723,0.673570290673016,0.446,0.673570290673016,0.729,0.343
"cox6b1",0.723,0.645881387687929,0.446,0.645881387687929,0.977,0.843
"cirbpa",0.721,0.753631327553443,0.442,0.753631327553443,0.895,0.744
"denr",0.72,0.663522865567757,0.44,0.663522865567758,0.82,0.521
"tubb4b",0.718,0.603619397538971,0.436,0.603619397538972,0.992,0.904
"tma7",0.715,0.649332255283385,0.43,0.649332255283384,0.895,0.699
"sub1a",0.714,0.768875582566585,0.428,0.768875582566585,0.835,0.62
"pcna",0.711,0.968213880838543,0.422,0.968213880838543,0.654,0.274
"ndufa4",0.711,0.702114863295369,0.422,0.702114863295369,0.85,0.563
"rhoca",0.711,0.656430710578751,0.422,0.656430710578751,0.767,0.419
"atpif1a",0.711,0.608535508011389,0.422,0.608535508011389,0.962,0.883
"rtn4a",0.71,0.692786031298635,0.42,0.692786031298636,0.895,0.62
"ralba",0.709,0.652797940778019,0.418,0.652797940778019,0.609,0.202
"cd151",0.709,0.63806924441263,0.418,0.63806924441263,0.729,0.367
"twf2b",0.709,0.604864493222448,0.418,0.604864493222448,0.857,0.575
"mrpl57",0.707,0.726372421991958,0.414,0.726372421991958,0.707,0.367
"snrpf",0.707,0.695526995386877,0.414,0.695526995386876,0.752,0.449
"si:ch73-46j18.5",0.706,0.718038162533853,0.412,0.718038162533853,0.759,0.425
"abcf1",0.705,0.830532219878132,0.41,0.830532219878132,0.789,0.455
"ywhaqa",0.705,0.662107355519381,0.41,0.66210735551938,0.782,0.446
"psma3",0.704,0.654744011752346,0.408,0.654744011752346,0.789,0.512
"ndufab1b",0.703,0.627246034249476,0.406,0.627246034249477,0.91,0.738
"bag2",0.702,0.900055485667347,0.404,0.900055485667347,0.624,0.289
"eif5a2",0.701,0.604894263773821,0.402,0.604894263773821,0.827,0.545
