Gene stable ID,Gene name,Human gene stable ID,Human gene name
ENSDARG00000083480,AC024175.23,,
ENSDARG00000082753,AC024175.17,,
ENSDARG00000081443,AC024175.10,,
ENSDARG00000080337,AC024175.4,,
ENSDARG00000083046,AC024175.19,,
ENSDARG00000063895,mt-nd1,ENSG00000198888,MT-ND1
ENSDARG00000083118,AC024175.20,,
ENSDARG00000080630,AC024175.6,,
ENSDARG00000082084,AC024175.14,,
ENSDARG00000063899,mt-nd2,ENSG00000198763,MT-ND2
ENSDARG00000080718,AC024175.7,,
ENSDARG00000080401,AC024175.5,,
ENSDARG00000081938,AC024175.13,,
ENSDARG00000082789,AC024175.18,,
ENSDARG00000080128,AC024175.1,,
ENSDARG00000063905,mt-co1,ENSG00000198804,MT-CO1
ENSDARG00000081369,AC024175.9,,
ENSDARG00000083519,AC024175.24,,
ENSDARG00000063908,mt-co2,ENSG00000198712,MT-CO2
ENSDARG00000080151,AC024175.2,,
ENSDARG00000063910,mt-atp8,,
ENSDARG00000063911,mt-atp6,ENSG00000198899,MT-ATP6
ENSDARG00000063912,mt-co3,ENSG00000198938,MT-CO3
ENSDARG00000081758,AC024175.12,,
ENSDARG00000063914,mt-nd3,ENSG00000198840,MT-ND3
ENSDARG00000080329,AC024175.3,,
ENSDARG00000063916,mt-nd4l,ENSG00000212907,MT-ND4L
ENSDARG00000063917,mt-nd4,ENSG00000198886,MT-ND4
ENSDARG00000082716,AC024175.16,,
ENSDARG00000082123,AC024175.15,,
ENSDARG00000081280,AC024175.8,,
ENSDARG00000063921,mt-nd5,ENSG00000198786,MT-ND5
ENSDARG00000063922,mt-nd6,ENSG00000198695,MT-ND6
ENSDARG00000083312,AC024175.21,,
ENSDARG00000063924,mt-cyb,ENSG00000198727,MT-CYB
ENSDARG00000083462,AC024175.22,,
ENSDARG00000081475,AC024175.11,,
ENSDARG00000106635,CR956626.1,,
ENSDARG00000109034,CABZ01020358.1,,
ENSDARG00000107651,CR388079.4,,
ENSDARG00000108068,CABZ01032845.1,,
ENSDARG00000108567,CR847799.2,,
ENSDARG00000107775,CABZ01002522.1,,
ENSDARG00000107794,CABZ01002524.3,,
ENSDARG00000106170,CABZ01002524.1,,
ENSDARG00000107407,CU693370.1,,
ENSDARG00000107810,CU693370.2,,
ENSDARG00000109162,CR361542.3,,
ENSDARG00000106584,BX005341.1,,
ENSDARG00000107837,AL773558.2,,
ENSDARG00000105999,CABZ01065723.1,,
ENSDARG00000108099,CT867953.2,,
ENSDARG00000108842,CR388101.2,,
ENSDARG00000108037,BX649490.4,,
ENSDARG00000106662,CABZ01009248.1,,
ENSDARG00000107218,BX088709.2,,
ENSDARG00000108342,CABZ01069273.1,,
ENSDARG00000106317,BX323876.3,,
ENSDARG00000107607,BX323556.2,,
ENSDARG00000107427,BX005096.1,,
ENSDARG00000107262,CR385059.1,,
ENSDARG00000107459,CR927050.3,,
ENSDARG00000108168,BX914205.4,,
ENSDARG00000108624,BX914205.5,,
ENSDARG00000107421,CABZ01112890.1,,
ENSDARG00000107130,CABZ01112891.1,,
ENSDARG00000107889,CABZ01053219.1,,
ENSDARG00000107279,BX000489.1,,
