ZFIN:ZDB-GENE-030131-1033	agrin		GO:1902572		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002588955|MGI:MGI:3648654|MGI:MGI:1919682	PANTHER:PTHR10913	protein_coding_gene		PMID:21873635	20190524	agrn
ZFIN:ZDB-GENE-100629-1	phosphatidylinositol glycan anchor biosynthesis, class U		GO:0003923		ZFIN	NCBITaxon:7955	IMP		PANTHER:PTHR13121	protein_coding_gene		PMID:20392743|ZFIN:ZDB-PUB-100420-35	20100702	pigu
ZFIN:ZDB-GENE-050309-265	si:ch211-274p24.2		GO:0016598		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR038794	PANTHER:PTHR36474	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	si:ch211-274p24.2
ZFIN:ZDB-GENE-050309-265	si:ch211-274p24.2		GO:0016598		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002193921|MGI:MGI:1921480	PANTHER:PTHR36474	protein_coding_gene		PMID:21873635	20170921	si:ch211-274p24.2
ZFIN:ZDB-GENE-990706-2	cell division cycle 27		GO:0031145		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000970703|PomBase:SPAC6F12.15c|SGD:S000001209|SGD:S000001505|FB:FBgn0012058|SGD:S000000180	PANTHER:PTHR12558	protein_coding_gene		PMID:21873635	20190726	cdc27
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0008236		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0720	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0006508		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001254	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0004252		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR012224	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0008233		ZFIN	NCBITaxon:7955	IEA	UniProtKB-KW:KW-0645	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020723-1	20201211	f7
ZFIN:ZDB-GENE-010814-1	coagulation factor VII		GO:0006508		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR018114	PANTHER:PTHR24278	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201211	f7
