ZFIN:ZDB-GENE-010226-1	glial cell derived neurotrophic factor a		GO:0001755		UniProt	NCBITaxon:7955	ISS	UniProtKB:P39905	PANTHER:PTHR12173	protein_coding_gene		ZFIN:ZDB-PUB-110105-1	20110409	gdnfa
ZFIN:ZDB-GENE-060825-148	zgc:153759		GO:2000406		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN002929911|MGI:MGI:2675303	PANTHER:PTHR46838	protein_coding_gene		PMID:21873635	20180816	zgc:153759
ZFIN:ZDB-GENE-061013-95	histone deacetylase 4		GO:0001755		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-120905-3	PANTHER:PTHR45634	protein_coding_gene		PMID:22676467|ZFIN:ZDB-PUB-120611-1	20120913	hdac4
ZFIN:ZDB-GENE-061013-95	histone deacetylase 4		GO:0001755		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-120905-4	PANTHER:PTHR45634	protein_coding_gene		PMID:22676467|ZFIN:ZDB-PUB-120611-1	20120913	hdac4
ZFIN:ZDB-GENE-061013-95	histone deacetylase 4		GO:0001755		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-MRPHLNO-120905-3|ZFIN:ZDB-MRPHLNO-120905-4	PANTHER:PTHR45634	protein_coding_gene		PMID:22676467|ZFIN:ZDB-PUB-120611-1	20120913	hdac4
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR039809	PANTHER:PTHR12015	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR000827	PANTHER:PTHR12015	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR036048	PANTHER:PTHR12015	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0008009		ZFIN	NCBITaxon:7955	IEA	InterPro:IPR001811	PANTHER:PTHR12015	protein_coding_gene		ZFIN:ZDB-PUB-020724-1	20201013	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0002548		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000245709|MGI:MGI:108224|UniProtKB:P13500|UniProtKB:Q9Y258|UniProtKB:P10147	PANTHER:PTHR12015	protein_coding_gene		PMID:21873635	20170228	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0008009		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000245709|RGD:3647|UniProtKB:P13501|MGI:MGI:1099448|UniProtKB:Q99731|UniProtKB:Q9Y258|ZFIN:ZDB-GENE-110222-2|UniProtKB:O00585|UniProtKB:P80098|MGI:MGI:1349183|RGD:3646|UniProtKB:P47992|UniProtKB:P10147|MGI:MGI:104593|UniProtKB:P55773|UniProtKB:P78423|RGD:3644|RGD:69069|MGI:MGI:1097153|MGI:MGI:98260|RGD:620458|MGI:MGI:1346316|RGD:1303200|UniProtKB:P22362|UniProtKB:O00175|UniProtKB:P51671|RGD:3645|UniProtKB:O15444|RGD:620441|UniProtKB:Q99616	PANTHER:PTHR12015	protein_coding_gene		PMID:21873635	20201205	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0048247		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000245709|UniProtKB:P47992|UniProtKB:Q9Y258|UniProtKB:P10147|RGD:3645|MGI:MGI:104593|MGI:MGI:1097153|RGD:69069	PANTHER:PTHR12015	protein_coding_gene		PMID:21873635	20200808	ccl20a.3
ZFIN:ZDB-GENE-081022-193	chemokine (C-C motif) ligand 20a, duplicate 3		GO:0030593		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000245709|RGD:3647|RGD:3645|UniProtKB:P10147|MGI:MGI:1097153	PANTHER:PTHR12015	protein_coding_gene		PMID:21873635	20170228	ccl20a.3
UniProtKB:A0A2R8QG26	Uncharacterized protein		GO:0016477		GO_Central	NCBITaxon:7955	IBA	PANTHER:PTN000832288|UniProtKB:P07942|FB:FBgn0261800|MGI:MGI:96743	PANTHER:PTHR10574	protein		PMID:21873635	20190301	A0A2R8QG26
ZFIN:ZDB-GENE-070117-2133	asterix		GO:0097324		ZFIN	NCBITaxon:7955	IMP	ZFIN:ZDB-GENO-070209-233		protein_coding_gene		PMID:24173565|ZFIN:ZDB-PUB-970108-4	20141230	ase
